Product Name,Product Price,Product Ratings,Product Reviews,BRAND
"Jlab JBuds LUX ANC Active Noise Cancelling, 70Hr Playti..."," Rs. 5,999 ",92,4.1,Jlab
"SONY WH-CH520 with 50 Hrs Playtime, DSEE Upscale, Multi..."," Rs. 4,490 ","10,138",4.3,SONY
Sennheiser Momentum 4 Wireless Over Ear Headphones Desi...," Rs. 25,990 ",172,4.3,Sennheiser
"boAt Rockerz 480 w/ Beast Mode, RGB LEDs(6 Light Modes)..."," Rs. 1,599 ","2,644",4.1,boAt
"ZEBRONICS Zeb -Boom, In-Line Mic, 1.5 Meter Cable, 3.5m...", Rs. 699 ,"3,004",3.5,ZEBRONICS
ZEBRONICS ZEB-STORM Wired, Rs. 698 ,62,4,ZEBRONICS
"ZEBRONICS Zeb-Duke, with 60h Backup, BT v5.3, Gaming Mo..."," Rs. 1,500 ","14,125",4,ZEBRONICS
"boAt Rockerz 480 w/ Beast Mode, RGB LEDs(6 Light Modes)..."," Rs. 1,599 ","2,644",4.1,boAt
Caidea TW400 Aristo 32dB Active Noise Cancellation 75H*..., Rs. 449 ,815,3.6,Caidea
"Hammer Blaze Gaming Headphones with Mic,Stereo 7.1 Soun..."," Rs. 1,999 ",20,4.7,Hammer
Techobucks Best Buy Sports Headphone with Mic SD Card S..., Rs. 297 ,131,3.5,Techobucks
PunnkFunnk Bass Pulse Bluetooth 5.3 Wireless Over-Ear H..., Rs. 859 ,32,3.5,PunnkFunnk
"TRIGGR Trinity 2 with Dual Pairing, ENC, Fast Charge, 5...", Rs. 799 ,"4,064",4,TRIGGR
"boAt Rockerz 480 w/ Beast Mode, RGB LEDs(6 Light Modes)..."," Rs. 1,599 ","2,644",4.1,boAt
EKSA E900PRONCMY Wired Gaming," Rs. 3,592 ",702,4.2,EKSA
Techpunch Adjustable Newest Headphones with Hi-Fi Stere..., Rs. 411 ,"75,201",3.7,Techpunch
Sennheiser MOMENTUM 4 Wireless designed in Germany with...," Rs. 25,990 ",172,4.3,Sennheiser
